"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Saw II: Flesh & Blood";"PS3";2010;"Action";"Konami Digital Entertainment";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Ice Age: Dawn of the Dinosaurs";"PS3";2009;"Action";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Sniper Elite";"PS2";2005;"Shooter";"Ubisoft";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Arc Rise Fantasia";"Nintendo Wii";2009;"Role-Playing";"Marvelous Interactive";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Ni Hao, Kai-lan: Super Game Day";"Nintendo Wii";2009;"Misc";"Take-Two Interactive";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS";"Nintendo DS";2005;"Action";"Sega";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Dynasty Warriors: Gundam 2";"XBOX 360";2008;"Action";"Namco Bandai Games";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Petz Pony: Beauty Pageant";"Nintendo DS";2009;"Simulation";"Ubisoft";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Parlor! Mini 4";"Super Nintendo";1996;"Misc";"Nippon Telenet";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"The Spiderwick Chronicles";"Nintendo Wii";2008;"Action";"Vivendi Games";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Danganronpa 2: Goodbye Despair";"PSP";2012;"Misc";"Spike";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Ice Age 2: The Meltdown";"Nintendo GameCube";2006;"Platform";"Vivendi Games";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Steins;Gate";"PSP";2011;"Adventure";"Kadokawa Shoten";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Enchanted Arms";"XBOX 360";2006;"Role-Playing";"Ubisoft";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Power Pro Kun Pocket 12";"Nintendo DS";2009;"Sports";"Konami Digital Entertainment";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"J-League Jikkyou Winning Eleven 3";"PS";1997;"Sports";"Konami Digital Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Jissen Pachi-Slot Hisshouhou";"Super Nintendo";1993;"Misc";"Sammy Corporation";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Pac-Man & Galaga Dimensions";"Nintendo 3DS";2011;"Misc";"Namco Bandai Games";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Quantum Theory";"PS3";2010;"Shooter";"Tecmo Koei";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Manhunt";"XBOX";2004;"Action";"Take-Two Interactive";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"NCAA Final Four 2003";"PS2";2002;"Sports";"Sony Computer Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Air Conflicts: Secret Wars";"PS3";2011;"Simulation";"bitComposer Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Rio";"Nintendo Wii";2011;"Misc";"THQ";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Dream Salon";"Nintendo DS";2009;"Misc";"Zoo Digital Publishing";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Scene It? Twilight";"Nintendo DS";2010;"Misc";"Konami Digital Entertainment";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Disgaea DS";"Nintendo DS";2008;"Role-Playing";"Square Enix";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Peter Jackson's King Kong: The Official Game of the Movie";"PSP";2005;"Action";"Ubisoft";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Space Invaders Extreme 2";"Nintendo DS";2009;"Shooter";"Square Enix";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"X-Men Origins: Wolverine";"PSP";2009;"Action";"Activision";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken";"Nintendo 3DS";2015;"Action";"Capcom";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Mystery Tales of Time Travel";"Nintendo DS";2010;"Puzzle";"Foreign Media Games";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"J-League Excite Stage '96";"Super Nintendo";1996;"Sports";"Epoch";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Risen";"XBOX 360";2009;"Role-Playing";"Deep Silver";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Hidden Mysteries: Vampire Secrets";"Nintendo DS";2010;"Adventure";"Astragon";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"New Love Plus";"Nintendo 3DS";2012;"Simulation";"Konami Digital Entertainment";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Final Fantasy XI";"XBOX 360";2006;"Role-Playing";"Square Enix";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
